id,type,question,answer
23,closed_ended,"Does the project include OpenCLIP-based classification experiments?","Yes. src/tasks/Task_1 includes OpenCLIP zero-shot, thresholding, embedding, analysis, and logistic regression scripts."
24,closed_ended,"Does the classification workflow compare model predictions with human labels?","Yes. open_clip_logistic_regression.py loads a human-label CSV and joins labels with saved OpenCLIP embedding rows."
25,closed_ended,"Does the experiment code report metrics such as accuracy, precision, recall, or F1?","Yes. open_clip_logistic_regression.py reports accuracy, precision, recall, F1, and confusion-matrix counts."
26,open_ended,"What is the clearest one-sentence description of R1 for a machine learning engineering recruiter?","R1 is a Raspberry Pi 5-based ROS 2 robot platform that demonstrates end-to-end ML engineering across camera data collection, visual perception, model evaluation, VLM inference, action generation, web interaction, and observability."
27,open_ended,"What real-world problem is R1 trying to solve or explore?","R1 explores how to build a small embodied AI system that can perceive its environment, reason over visual events, answer questions about camera frames, and produce actions on resource-constrained edge hardware."
28,open_ended,"What are the main ML engineering skills demonstrated by this repo?","The repo demonstrates real-time computer vision, ROS 2 systems integration, model inference, VLM integration, data labeling workflows, CLIP embedding evaluation, classification metrics, Dockerized deployment, and web-facing product documentation."
29,open_ended,"How does the ROS 2 node architecture separate perception, reasoning, control, audio, web, and SLAM responsibilities?","The camera node publishes image streams, the visual processor turns frames into vision events, the brain node converts events and commands into speech or actions, the action node handles downstream behavior, audio and ear nodes handle speech/text IO, the VLM node answers image-grounded questions, the web node provides browser interaction, and the SLAM package handles localization experiments separately."
30,open_ended,"What data flows from the camera node to the visual processor, brain node, action node, VLM node, and web interface?","Camera frames flow through ROS image topics into the visual processor. The visual processor publishes JSON events on /vision/events. The brain node consumes those events and publishes speech text, action JSON, or VLM questions. The VLM node consumes image-question requests and returns answers. The web interface exposes interaction and status through a browser-facing layer."
31,open_ended,"What are the most important launch parameters, and how do they change the behavior of the robot?","Important launch parameters include camera_uids, camera_labels, yolo_camera_uid, enable_2dobd, enable_3dobd, enable_slam, enable_web, enable_ear, enable_vlm, event_min_interval_sec, event_max_silence_sec, ollama_url, vlm_model, and SLAM camera/intrinsic parameters. They control which nodes run, which camera is used, how often events publish, and which model/server is used for inference."
32,open_ended,"How does the visual processor decide when to publish a vision event?","The visual processor analyzes each camera frame, creates an event containing obstacle or detection state, attaches camera metadata, saves images when the obstacle state changes, and publishes events when the event differs enough from the last published state or when the silence interval requires a heartbeat."
33,open_ended,"How does the visual processor throttle or reuse YOLO detections for real-time performance?","The visual processor tracks last_yolo_time and only runs YOLO when enough time has passed. Between YOLO runs, it can reuse the last YOLO event or fall back to simpler frame analysis, which reduces CPU load on the robot."
34,open_ended,"What model is used for YOLO inference, and why was that model chosen?","The code currently points to /home/ubuntu/r1/data/models/yolov12n-face.onnx and loads it with ultralytics.YOLO. Based on the path, it appears to be a lightweight face-detection-oriented ONNX model suitable for CPU inference on edge hardware."
35,open_ended,"What are the known failure modes of the visual detection system?","Likely failure modes include poor lighting, camera blur, low FPS, false positives from YOLO, missed detections on small or occluded objects, stale reused detections between inference intervals, incorrect camera UID configuration, and model mismatch between the intended object classes and the current scene."
36,open_ended,"How is camera quality measured, and how should camera metrics be used during debugging?","The visual processor tracks frame timestamps, image mean, standard deviation, dark fraction, and bright fraction for selected cameras. These metrics should be used to diagnose camera FPS drops, underexposure, overexposure, blank frames, or unstable image streams."
37,open_ended,"How does the brain node translate perception events into robot actions?","The brain node checks whether an event is obstacle-like and where the obstacle appears. Center obstacles produce a high-priority stop action, left obstacles suggest moving right, right obstacles suggest moving left, and clear scenes produce a low-priority idle action."
38,open_ended,"How should VLM answers be validated before they are trusted in the robot loop?","VLM answers should be treated as advisory unless checked against structured perception signals, confidence thresholds, repeated observations, latency limits, and task-specific tests. Safety-critical behavior should rely on deterministic perception events or explicit validation rather than raw generated text."
39,open_ended,"What latency targets should R1 meet for perception, VLM inference, and action generation?","A practical target is sub-second perception-to-action latency for obstacle handling, roughly 1 to 2 FPS or better for YOLO on the chosen hardware, and VLM latency that is acceptable for non-safety question answering. Exact targets should be measured and documented with timestamps from ROS topics."
40,open_ended,"What metrics should be collected to prove that R1 is reliable enough for a demo?","Useful metrics include camera FPS, dropped frames, perception latency, YOLO inference time, event publish rate, CPU and memory usage, action latency, VLM response time, detection precision and recall, false positive and false negative examples, and uptime during a demo run."
41,open_ended,"How does the OpenCLIP classification experiment create embeddings and evaluate predictions?","The experiment loads OpenCLIP ViT-B-32 with LAION weights, preprocesses images, encodes text prompts and images, computes image-text similarity scores, saves normalized image embeddings, joins embeddings with human labels, trains logistic regression, and evaluates predictions on development and test splits."
42,open_ended,"How are human labels loaded, cleaned, and joined with model outputs?","The code loads a CSV with pandas, normalizes image names by taking the basename, parses created_at as UTC timestamps, converts yellow_ball_present into a boolean human_label, then merges the labels with embedding image rows using the image filename."
43,open_ended,"Why is a time-based development and test split used in the classification experiment?","A time-based split tests whether the model generalizes to later-collected data instead of randomly mixing near-duplicate or same-session images across train and test. This is closer to how a deployed robot sees future data."
44,open_ended,"What do accuracy, precision, recall, F1, false positives, and false negatives mean for the yellow-ball task?","Accuracy is the overall fraction of correct predictions. Precision measures how often predicted yellow-ball images are actually positive. Recall measures how many true yellow-ball images are found. F1 balances precision and recall. False positives are no-ball images predicted as ball, and false negatives are ball images missed by the model."
45,open_ended,"What failure cases should be shown in the experiment report to make the ML evaluation credible?","The report should show false positives, false negatives, low-margin examples, lighting failures, blurry frames, occluded balls, background objects that resemble balls, camera-angle issues, and cases where zero-shot CLIP disagrees with the logistic regression classifier."
46,open_ended,"What changes are needed to turn the exploratory ML scripts into a reproducible training and evaluation pipeline?","The scripts should be split into dataset preparation, embedding generation, training, evaluation, and prediction entry points. They should use config files, fixed paths or CLI arguments, saved model artifacts, metrics JSON/CSV outputs, dependency pinning, and a single documented command such as make vision-eval."
47,open_ended,"What tests should be added around dataset loading, metrics, event formatting, and node behavior?","Tests should cover label CSV parsing, filename normalization, train/test split logic, metric calculation, empty or corrupt image handling, event JSON schema, action mapping from obstacle regions, VLM request validation, and launch configuration defaults."
48,open_ended,"How should Docker, setup instructions, and dependency management be improved for reproducibility?","The repo should pin Python and ROS dependencies, separate robot-runtime and experiment dependencies, document required model files, provide a reproducible Docker image for experiments, add environment variable examples, and include smoke-test commands for ROS nodes and ML scripts."
49,open_ended,"What programming language is used for SLAM in R1?","The R1 SLAM node/package is implemented in C++. The ROS 2 launch file is Python, but the SLAM implementation itself is C++."
