id,gold_context
14,"src/r1_slam/src/monocular_slam_node.cpp uses OpenCV: cv::ORB::create for feature detection and cv::calcOpticalFlowPyrLK for Lucas-Kanade optical flow tracking."
15,"src/r1_slam/src/monocular_slam_node.cpp creates publishers for /slam/pose as geometry_msgs::msg::PoseStamped and /slam/path as nav_msgs::msg::Path. It also publishes /slam/debug_image."
16,"src/r1_web is the browser-facing web interface package. The repo includes web UI assets and a web_ui_node that is started from src/r1_nodes/launch/bringup.launch.py when enable_web is true."
17,"docs/src/pages/index.tsx documents the R1 homepage, including overview, goals, hardware, software components, running instructions, observability, and future directions."
18,"docs/src/components/R1Chat/R1Chat.tsx renders the website chat widget. The UI labels the assistant as Agent Murphy."
19,"docs/src/components/R1Chat/R1Chat.tsx supports image upload for PNG, JPEG, and WebP files up to 5 MB, converts them to base64, and sends them in the chat request payload."
20,"docs/src/components/R1Chat/R1Chat.tsx contains Cloudflare Turnstile loading/session code. Security distinction: the Turnstile site key is public in frontend code; server-side validation secrets must not be exposed."
21,"docs/src/components/R1Chat/R1Chat.tsx defines getFallbackReply and fallback answers for common R1 questions when the live backend is offline or unavailable."
22,"readme.md has a Docker Instructions section with docker build, docker run, docker exec, and cleanup commands for running the R1 environment."
23,"src/tasks/Task_1 contains OpenCLIP classification experiments, including open_clip_zero_shot.py, open_clip_threshold.py, open_clip_analysis.py, open_clip_classifier.py, and open_clip_logistic_regression.py."
24,"src/tasks/Task_1/open_clip_logistic_regression.py loads human labels from a CSV, normalizes image names with basename, creates human_label from yellow_ball_present, and merges labels with saved OpenCLIP embedding rows."
25,"src/tasks/Task_1/open_clip_logistic_regression.py reports classification metrics including accuracy, precision, recall, F1, and confusion-matrix counts. Related Task_1 scripts also compute these metrics."
26,"R1 is described in readme.md as a Raspberry Pi 5-based ROS 2 robot platform. The repo combines camera collection, visual processing, brain/action nodes, VLM integration, web documentation, Docker setup, and Task_1 model evaluation scripts."
27,"R1 explores embodied AI on constrained edge hardware: camera perception, ROS 2 event flow, reasoning over visual events, image question answering through a VLM node, and action generation."
28,"The repo demonstrates ML engineering across ROS 2 integration, camera data handling, real-time perception, YOLO inference, VLM/Ollama calls, OpenCLIP embedding/classification experiments, human-label evaluation, Docker, web UI, and observability docs."
29,"src/r1_nodes/launch/bringup.launch.py separates nodes by responsibility: cameras_node for image streams, visual_processor_node for vision events, brain_node for reasoning/actions, action_node for downstream behavior, audio/ear nodes for IO, vlm_node for image QA, web_ui_node for UI, and r1_slam for SLAM."
30,"Camera frames are published on /camera/uid_{uid}/image_raw. visual_processor_node subscribes to those image topics and publishes JSON String events on /vision/events. brain_node consumes /vision/events and publishes /brain/actions, speech text, or VLM questions. vlm_node handles /vlm/questions and /vlm/answers. r1_web exposes browser interaction."
31,"src/r1_nodes/launch/bringup.launch.py declares camera_uids, camera_labels, yolo_camera_uid, enable_2dobd, enable_3dobd, enable_slam, enable_web, enable_ear, enable_vlm, event_min_interval_sec, event_max_silence_sec, ollama_url, vlm_model, slam_camera_topic, focal length, principal point, and debug-image parameters."
32,"src/r1_nodes/r1/visual_processor_node.py analyzes each frame, attaches camera_uid and camera_label, saves an image when obstacle_like changes, and publishes when should_publish_event permits it based on event changes, event_min_interval_sec, and event_max_silence_sec."
33,"src/r1_nodes/r1/visual_processor_node.py stores last_yolo_time, yolo_min_interval_sec, and last_yolo_event. It only runs YOLO when enough time has elapsed; otherwise it reuses the last YOLO event or falls back to simpler frame analysis."
34,"src/r1_nodes/r1/visual_processor_node.py loads YOLO from /home/ubuntu/r1/data/models/yolov12n-face.onnx through ultralytics.YOLO when enable_2dobd is active. The filename suggests a lightweight face-oriented ONNX model for edge inference."
35,"Known likely detection failure modes follow from visual_processor_node.py behavior: poor lighting, blur, low FPS, false positives, missed small/occluded objects, stale reused YOLO detections, wrong yolo_camera_uid, and mismatch between the face-oriented model and desired object classes."
36,"src/r1_nodes/r1/visual_processor_node.py tracks camera metrics per configured camera: frame_times, image means, standard deviations, dark fractions, and bright fractions, then publishes camera metrics on /vision/camera_metrics."
37,"src/r1_nodes/r1/brain_node.py consumes /vision/events. It maps obstacle-like events to action JSON: center obstacles trigger high-priority stop, left/right obstacles suggest moving away, and clear scenes produce idle or lower-priority behavior."
38,"VLM answers come from src/r1_nodes/r1/vlm_node.py via Ollama-compatible generation and should be treated as advisory. Safety behavior should rely on structured perception events from visual_processor_node and validation through thresholds, repeated observations, latency checks, and tests."
39,"Reasonable latency targets should be measured from ROS timestamps and logs: sub-second perception-to-action for obstacle handling, YOLO throughput around 1-2 FPS or better on target hardware, and VLM latency acceptable for non-safety question answering."
40,"Reliability metrics should include camera FPS, dropped frames, perception latency, YOLO inference time, /vision/events publish rate, CPU/memory, action latency, VLM response time, detection precision/recall, false positives/negatives, and demo uptime."
41,"src/tasks/Task_1/open_clip_logistic_regression.py loads OpenCLIP ViT-B-32 with LAION weights, preprocesses images, encodes image embeddings, joins embeddings with human labels, trains logistic regression, and evaluates development/test splits."
42,"src/tasks/Task_1/open_clip_logistic_regression.py uses pandas to load the human-label CSV, normalizes image names with os.path.basename, parses created_at as UTC, converts yellow_ball_present == yes into boolean human_label, and merges labels with embedding rows by image filename."
43,"src/tasks/Task_1/open_clip_logistic_regression.py uses a time-based development/test split so later-collected data is held out. This better reflects future robot data than random splits that may mix same-session or near-duplicate images."
44,"For the yellow-ball task, accuracy is overall correctness, precision is correctness among predicted positives, recall is coverage of actual positives, F1 balances precision and recall, false positives are no-ball images predicted as ball, and false negatives are ball images missed."
45,"Credible experiment reporting should show false positives, false negatives, low-margin examples, lighting failures, blurry frames, occlusions, background objects resembling balls, camera-angle issues, and cases where zero-shot CLIP disagrees with logistic regression."
46,"To make Task_1 reproducible, split scripts into dataset preparation, embedding generation, training, evaluation, and prediction entry points; add config/CLI paths, fixed dependencies, saved model artifacts, metrics JSON/CSV outputs, and a documented single command."
47,"Tests should cover human-label CSV parsing, filename normalization, train/test split logic, metric calculation, corrupt/empty image handling, /vision/events JSON schema, brain action mapping, VLM request validation, and bringup launch defaults."
48,"Reproducibility improvements should pin Python/ROS dependencies, separate robot runtime from experiment dependencies, document required model files, provide a reproducible Docker image, add .env examples, and include smoke-test commands for ROS nodes and ML scripts."
49,"src/r1_slam/CMakeLists.txt declares add_executable(monocular_slam_node src/monocular_slam_node.cpp) and uses ament_cmake. src/r1_slam/src/monocular_slam_node.cpp is C++. src/r1_slam/launch/monocular_slam.launch.py is Python only for launching; the SLAM implementation itself is C++."
